radius,"[0, 0, 0, 0, 0, 0, 0]"
theta,"[0, 0, 0, 0, 0, 0, 0]"
valence,"[0.0238095, -0.015872999999999998, 0.0, 0.038819900000000004, -0.00862664, 0.00862664, 0.0172533]"
arousal,"[-0.015872999999999998, 0.00793651, 0.015872999999999998, 0.0, 0.0, 0.00862664, -0.01294]"
sliderThetaSub,"[27.0, 25.2, 28.8, 25.2, 27.0, 27.0, 21.6]"
sliderVertexNum,"[8, 8, 8, 17, 14, 10, 8]"
sliderLengthCoefficient,"[0.0, 0.6, 0.8, 0.9, 0.5, 0.3, 0.2]"
sliderAmplitude,"[0.4, 0.5, 0.4, 0.45, 0.4, 0.35, 0.35]"
sliderThetaBeat,"[5.0, 3.5, 1.5, 1.0, 3.5, 2.5, 3.5]"
sliderHue,"[180, 260, 180, 0, 130, 80, 70]"
